
==================== [생태하천과] (총 39개 행) ====================
  idx= 5845 | 본예산      | 세부: 용인 자원순환가게 운영              | 목: 사무관리비           | 근거: Ο재활용 플랫폼 이용료                   | 식: 4,000,000원                | 4,000.000000천원
  idx= 5846 | 본예산      | 세부: 용인 자원순환가게 운영              | 목: 기타보상금           | 근거: Ο재활용품 수거보상금                    | 식: 3,000,000원                | 3,000.000000천원
  idx= 5847 | 본예산      | 세부: 용인 자원순환가게 운영              | 목: 기타보상금           | 근거: Ο자원순환가게 운영지원                   | 식: 1,000,000원                | 1,000.000000천원
  idx= 5848 | 본예산      | 세부: 주민편익시설 운영비 지원             | 목: 사무관리비           | 근거: Ο용인시민체육센터 신용카드 수수료             | 식: 40,000,000원               | 40,000.000000천원
  idx= 5849 | 본예산      | 세부: 깨끗한 쓰레기 처리 감시원 운영         | 목: 기간제근로자등보수       | 근거: Ο깨끗한 쓰레기 처리 감시원 운영             | 식: 620,000,000원              | 620,000.000000천원
  idx= 5850 | 본예산      | 세부: 다회용기 재사용 촉진 지원사업          | 목: 민간경상사업보조        | 근거: Ο다회용기 재사용 촉진 지원사업              | 식: 445,000,000원              | 445,000.000000천원
  idx= 5851 | 본예산      | 세부: 소형 전기노면차 운영               | 목: 공공운영비           | 근거: Ο소형 전기노면차 공공요금                 | 식: 1,000,000원*3대             | 3,000.000000천원
  idx= 5852 | 추경1회     | 세부: 생활폐기물 거점배출시설 설치 사업        | 목: 사무관리비           | 근거: Ο생활폐기물 거점배출시설 설치 사업            | 식: 330,000원*18개소             | 5,940.000000천원
  idx= 5853 | 본예산      | 세부: 자동집하시설 정비사업               | 목: 시설비             | 근거: Ο자동집하시설 정비사업                   | 식: 1,800,000,000원            | 1,800,000.000000천원
  idx= 5854 | 본예산      | 세부: 폐현수막 공공용 마대 활용 시범사업       | 목: 사무관리비           | 근거: Ο공공용 마대 제작                     | 식: 6,000,000원                | 6,000.000000천원
  idx= 5855 | 추경1회     | 세부: 폐의약품 수거함 설치사업             | 목: 사무관리비           | 근거: Ο폐의약품 수거함 설치 사업                | 식: 350,000원*15개              | 5,250.000000천원
  idx= 5856 | 본예산      | 세부: 환경 기초시설 유지관리              | 목: 공공운영비           | 근거: Ο적환장 공공요금(전기,수도 등)             | 식: 26,100,000원               | 26,100.000000천원
  idx= 5857 | 본예산      | 세부: 환경 기초시설 유지관리              | 목: 시책추진업무추진비       | 근거: Ο환경 기초시설 유지관리 업무추진             | 식: 3,600,000원                | 3,600.000000천원
  idx= 5858 | 본예산      | 세부: 환경 기초시설 유지관리              | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο재활용센터 위탁사업(경상)                | 식: 5,186,541,000원            | 5,186,541.000000천원
  idx= 5859 | 본예산      | 세부: 환경 기초시설 유지관리              | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο재활용센터 위탁사업 대행수수료              | 식: 259,327,050원              | 259,328.000000천원
  idx= 5860 | 본예산      | 세부: 환경 기초시설 유지관리              | 목: 공기관등에대한자본적위탁사업비 | 근거: Ο재활용센터 위탁사업(자본)                | 식: 288,417,000원              | 288,417.000000천원
  idx= 5861 | 본예산      | 세부: 환경 기초시설 유지관리              | 목: 기타자본이전          | 근거: Ο환경기초시설(소각,매립,재활용센터) 온실가스 배출권 구입 | 식: 138,590,000원              | 138,590.000000천원
  idx= 5862 | 본예산      | 세부: 환경기초시설 설치                 | 목: 사무관리비           | 근거: Ο협의회 수당                        | 식: 100,000원*10명*2회           | 2,000.000000천원
  idx= 5863 | 본예산      | 세부: 환경기초시설 설치                 | 목: 사무관리비           | 근거: Ο주민지원협의체 수당                    | 식: 100,000원*13명*2회           | 2,600.000000천원
  idx= 5864 | 본예산      | 세부: 환경기초시설 설치                 | 목: 사무관리비           | 근거: Ο소각시설 확충사업 주민 홍보, 설명회 등        | 식: 10,000,000원               | 10,000.000000천원
  idx= 5865 | 본예산      | 세부: 환경기초시설 설치                 | 목: 사무관리비           | 근거: Ο국외출장 통역 수수료                   | 식: 5,000,000원                | 5,000.000000천원
  idx= 5866 | 본예산      | 세부: 환경기초시설 설치                 | 목: 국제화여비           | 근거: Ο선진 소각시설 견학(국외)                | 식: 16,000,000원               | 16,000.000000천원
  idx= 5867 | 본예산      | 세부: 환경기초시설 설치                 | 목: 민간인국외여비         | 근거: Ο선진 소각시설 견학(국외)                | 식: 115,000,000원              | 115,000.000000천원
  idx= 5868 | 본예산      | 세부: 환경기초시설 설치                 | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο신문공고료 등                       | 식: 9,900,000원                | 9,900.000000천원
  idx= 5869 | 본예산      | 세부: 환경기초시설 설치                 | 목: 시설비             | 근거: Ο덕성리 분묘 이전비                    | 식: 30,000,000원               | 30,000.000000천원
  idx= 5870 | 본예산      | 세부: 용인환경센터 매립시설 사면 정비공사       | 목: 시설비             | 근거: Ο용인환경센터 매립시설 사면 정비공사           | 식: 400,000,000원              | 400,000.000000천원
  idx= 5871 | 추경1회     | 세부: 용인환경센터 매립시설 사면 정비공사       | 목: 시설비             | 근거: Ο용인환경센터 매립시설 사면 정비공사           | 식: 50,000,000원               | 50,000.000000천원
  idx= 5872 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 사무관리비           | 근거: Ο일반수용비                         | 식: 60,000원*24명*12월*90%       | 15,552.000000천원
  idx= 5873 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 사무관리비           | 근거: Ο급식비                           | 식: 9,000원*24명*3일*12월         | 7,776.000000천원
  idx= 5874 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 사무관리비           | 근거: Ο행정장비 운영                       | 식: nan                       | 10,200.000000천원
  idx= 5875 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 사무관리비           | 근거:   ο소모품                         | 식: 300,000원*6대*4회            | 7,200.000000천원
  idx= 5876 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 사무관리비           | 근거:   ο장비유지                        | 식: 3,000,000원                | 3,000.000000천원
  idx= 5877 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 사무관리비           | 근거: Ο홍보물 및 일간지 구독료                 | 식: 90,000원*12월               | 1,080.000000천원
  idx= 5878 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 국내여비            | 근거: Ο기본업무추진                        | 식: 10,000원*20명*4회*12월        | 9,600.000000천원
  idx= 5879 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 부서운영업무추진비       | 근거: Ο25인 이하                        | 식: 350,000원*12월              | 4,200.000000천원
  idx= 5880 | 본예산      | 세부: 기본경비(자원순환과)               | 목: 직책급업무수행경비       | 근거: Ο5급                            | 식: 100,000원*1명*12월           | 1,200.000000천원
