=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3010   본예산       노인일자리 수행기관 전담인력 인건비         공무직(무기계약)근로자보수      Ο노인일자리전담 구청 공무직 근로자 인건비(자체)          40,000,000원      40000     ✅ 정산 포함
3011   본예산       노인일자리 수행기관 전담인력 인건비  공무직(무기계약)근로자 보험료부담금 등  Ο노인일자리전담 구청 공무직 근로자 보험료 부담금(자체)          16,000,000원      16000     ✅ 정산 포함
3012   본예산       노인일자리 수행기관 전담인력 인건비               사회복지사업보조             Ο노인일자리 수행기관 전담인력 인건비       1,457,094,000원    1457094     ✅ 정산 포함
3013   본예산     노인일자리 수행기관 전담인력 처우개선비   사회보장적수혜금(취약계층, 지방재원)            Ο노인일자리 수행기관 종사자 처우개선비          15,375,000원      15375  🔄 경정 대체 제외
3014  추경1회     노인일자리 수행기관 전담인력 처우개선비   사회보장적수혜금(취약계층, 지방재원)            Ο노인일자리 수행기관 종사자 처우개선비       경정 24,600,000원      24600     ✅ 정산 포함
3015   본예산        노인일자리 수행기관 부대경비 지원               사회복지사업보조              Ο노인일자리 수행기관 부대경비 지원          30,000,000원      30000     ✅ 정산 포함
3016   본예산               시니어클럽 운영 지원                  민간위탁금                   Ο용인시니어클럽 운영 지원         583,400,000원     583400     ✅ 정산 포함
3017   본예산               시니어클럽 운영 지원                  민간위탁금               Ο용인시니어클럽 운영 지원(자체)          30,000,000원      30000     ✅ 정산 포함
3018   본예산          시니어클럽 종사자 특수근무수당   사회보장적수혜금(취약계층, 지방재원)                Ο시니어클럽 종사자 특수근무수당          16,800,000원      16800     ✅ 정산 포함
3019   본예산            노인일자리 초기투자비 지원               사회복지사업보조                  Ο노인일자리 초기투자비 지원         122,450,000원     122450     ✅ 정산 포함
3020  추경1회                 노인상담센터 지원               사회복지사업보조                  Ο노인상담센터 지원(성립전)         192,696,000원     192696     ✅ 정산 포함
3021   본예산             고령친화도시 조성 활성화                  사무관리비                        Ο위원회 참석수당           1,000,000원       1000     ✅ 정산 포함
3022   본예산             고령친화도시 조성 활성화                  사무관리비                   Ο고령친화도시 조성 운영비           1,000,000원       1000     ✅ 정산 포함
3023   본예산          취약노인가구 생활편의 지원사업               사회복지사업보조                 Ο홀몸노인가구 잔고장 출장수리          21,800,000원      21800     ✅ 정산 포함
3024   본예산               고령어르신 동행서비스               사회복지사업보조                   Ο고령 어르신 동행 서비스          40,000,000원      40000     ✅ 정산 포함
3025  추경1회      노인일자리 수행기관 종사자 웰빙보조비   사회보장적수혜금(취약계층, 지방재원)            Ο노인일자리 수행기관 종사자 웰빙보조비           9,840,000원       9840     ✅ 정산 포함
3026   본예산             저소득 재가노인 식사배달               사회복지사업보조                   Ο저소득 재가노인 식사배달         212,625,000원     212625  🔄 경정 대체 제외
3027  추경1회             저소득 재가노인 식사배달               사회복지사업보조                   Ο저소득 재가노인 식사배달      경정 270,000,000원     270000     ✅ 정산 포함
3028   본예산                 경로식당 무료급식               사회복지사업보조                       Ο경로식당 무료급식         364,320,000원     364320  🔄 경정 대체 제외
3029  추경1회                 경로식당 무료급식               사회복지사업보조                       Ο경로식당 무료급식      경정 485,760,000원     485760     ✅ 정산 포함
3030   본예산              경로식당 취사원 인건비               사회복지사업보조               Ο재가노인 식사배달 취사원 인건비          52,650,000원      52650  🔄 경정 대체 제외
3031   본예산              경로식당 취사원 인건비               사회복지사업보조                    Ο무료급식 취사원 인건비         245,700,000원     245700  🔄 경정 대체 제외
3032  추경1회              경로식당 취사원 인건비               사회복지사업보조               Ο재가노인 식사배달 취사원 인건비       경정 70,380,000원      70380     ✅ 정산 포함
3033  추경1회              경로식당 취사원 인건비               사회복지사업보조                    Ο무료급식 취사원 인건비      경정 328,440,000원     328440     ✅ 정산 포함
3034   본예산               노인장기요양 재가급여   사회보장적수혜금(취약계층, 지방재원)                     Ο노인장기요양 재가급여      15,299,428,000원   15299428     ✅ 정산 포함
3035   본예산                 노인맞춤돌봄서비스               사회복지사업보조                       Ο노인맞춤돌봄서비스       7,882,870,000원    7882870  🔄 경정 대체 제외
3036   본예산                 노인맞춤돌봄서비스               사회복지사업보조                   Ο노인맞춤돌봄서비스(자체)         171,600,000원     171600  🔄 경정 대체 제외
3037  추경1회                 노인맞춤돌봄서비스               사회복지사업보조                       Ο노인맞춤돌봄서비스    경정 7,415,261,000원    7415261     ✅ 정산 포함
3038  추경1회                 노인맞춤돌봄서비스               사회복지사업보조                   Ο노인맞춤돌봄서비스(자체)      경정 180,000,000원     180000     ✅ 정산 포함
3039   본예산            독거노인 응급안전안심서비스               사회복지사업보조                  Ο독거노인 응급안전안심서비스         641,990,000원     641990     ✅ 정산 포함
3040   본예산            독거노인 응급안전안심서비스               사회복지사업보조              Ο독거노인 응급안전안심서비스(자체)          41,000,000원      41000     ✅ 정산 포함
