
==================== [복지정책과] (총 169개 행) ====================
  idx= 2872 | 본예산      | 세부: 사회복지협의회 사회복지자원봉사 사업 운영    | 목: 사회복지시설법정운영비보조   | 근거: Ο사회복지협의회 사회복지자원봉사 사업 운영        | 식: 50,000,000원               | 50,000.000000천원
  idx= 2873 | 본예산      | 세부: 사회복지박람회 행사 지원             | 목: 민간행사사업보조        | 근거: Ο사회복지박람회 및 기념식 운영 지원           | 식: 14,400,000원               | 14,400.000000천원
  idx= 2874 | 본예산      | 세부: 사회복지시설 종사자 보수교육비 지원       | 목: 사회복지사업보조        | 근거: Ο사회복지시설 종사자 보수교육비 지원           | 식: 53,032,000원               | 53,032.000000천원
  idx= 2875 | 추경1회     | 세부: 사회복지시설 종사자 보수교육비 지원       | 목: 사회복지사업보조        | 근거: Ο사회복지시설 종사자 보수교육비 지원           | 식: 경정 86,296,000원            | 86,296.000000천원
  idx= 2876 | 본예산      | 세부: 사회복지시설 종사자 상해보험비 지원       | 목: 사회복지사업보조        | 근거: Ο사회복지시설 종사자 상해보험비 지원           | 식: 33,070,000원               | 33,070.000000천원
  idx= 2877 | 추경1회     | 세부: 사회복지시설 종사자 상해보험비 지원       | 목: 사회복지사업보조        | 근거: Ο사회복지시설 종사자 상해보험비 지원           | 식: 경정 52,540,000원            | 52,540.000000천원
  idx= 2878 | 본예산      | 세부: 사회복지 업무담당자 교육             | 목: 사무관리비           | 근거: Ο사회복지 업무담당자 교육                 | 식: 10,000,000원               | 10,000.000000천원
  idx= 2879 | 본예산      | 세부: 읍면동 지역사회보장협의체 활성화 지원      | 목: 사무관리비           | 근거: Ο운영비 지원                        | 식: 30,400,000원               | 30,400.000000천원
  idx= 2880 | 본예산      | 세부: 읍면동 지역사회보장협의체 활성화 지원      | 목: 사무관리비           | 근거: Ο위원회 참석수당                      | 식: 56,160,000원               | 56,160.000000천원
  idx= 2881 | 본예산      | 세부: 사회복무제도 지원(전환사업)           | 목: 사회복무요원보상금       | 근거: Ο사회복무요원 보수                     | 식: 7,224,960,000원            | 7,224,960.000000천원
  idx= 2882 | 본예산      | 세부: 사회복무제도 지원(전환사업)           | 목: 사회복무요원보상금       | 근거: Ο사회복무요원 피복비 및 교통비              | 식: 498,365,000원              | 498,365.000000천원
  idx= 2883 | 본예산      | 세부: 지역사회보장협의체 활동비 지원(위기이웃 발굴 지원) | 목: 사무관리비           | 근거: Ο위기이웃 발굴 지원(지역사회보장협의체위원 활동지원비) | 식: 49,200,000원               | 49,200.000000천원
  idx= 2884 | 본예산      | 세부: 상병수당 시범사업 추진              | 목: 사무관리비           | 근거: Ο상병수당 시범사업 홍보                  | 식: 2,000,000원                | 2,000.000000천원
  idx= 2885 | 본예산      | 세부: 고독사 예방 및 관리체계 구축 사업       | 목: 사무관리비           | 근거: ΟAI케어 토닥이서비스                   | 식: 53,000,000원               | 53,000.000000천원
  idx= 2886 | 본예산      | 세부: 고독사 예방 및 관리체계 구축 사업       | 목: 사무관리비           | 근거: Ο주민주도 마을복지지원 사업                | 식: 37,000,000원               | 37,000.000000천원
  idx= 2887 | 추경1회     | 세부: 고독사 예방 및 관리체계 구축 사업       | 목: 사무관리비           | 근거: Ο주민주도 마을복지지원 사업                | 식: 경정 0원                     |     0.000000천원
  idx= 2888 | 추경1회     | 세부: 고독사 예방 및 관리체계 구축 사업       | 목: 민간경상사업보조        | 근거: Ο주민주도 마을복지지원 사업                | 식: 37,000,000원               | 37,000.000000천원
  idx= 2889 | 본예산      | 세부: 사회복지사 등의 처우개선위원회 운영       | 목: 사무관리비           | 근거: Ο처우개선위원회 회의 참석수당               | 식: 100,000원*12명*2회           | 2,400.000000천원
  idx= 2890 | 추경1회     | 세부: 종합사회복지관 종사자 웰빙보조비         | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο종합사회복지관 종사자 웰빙보조비             | 식: 3,600,000원                | 3,600.000000천원
  idx= 2891 | 추경1회     | 세부: 비영리법인 등 위탁·보조사업 종사자 웰빙보조비(사회복지협의회) | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο비영리법인 등 위탁·보조사업 종사자 웰빙보조비(사회복지협의회) | 식: 720,000원                  |   720.000000천원
  idx= 2892 | 추경1회     | 세부: 비영리법인 등 위탁·보조사업 종사자 처우개선비(사회복지협의회) | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο비영리법인 등 위탁·보조사업 종사자 처우개선비(사회복지협의회) | 식: 1,800,000원                | 1,800.000000천원
  idx= 2893 | 본예산      | 세부: 지역사회 보장협의체 운영             | 목: 사무관리비           | 근거: Ο대표실무협의체 회의 참석수당               | 식: 12,000,000원               | 12,000.000000천원
  idx= 2894 | 본예산      | 세부: 지역사회 보장협의체 운영             | 목: 시책추진업무추진비       | 근거: Ο사회서비스 및 보장협의체 운영 업무추진         | 식: 3,600,000원                | 3,600.000000천원
  idx= 2895 | 본예산      | 세부: 지역사회 보장협의체 운영             | 목: 시책추진업무추진비       | 근거: Ο사회서비스 업무추진                    | 식: 3,600,000원                | 3,600.000000천원
  idx= 2896 | 본예산      | 세부: 지역사회 보장협의체 운영             | 목: 민간단체법정운영비보조     | 근거: Ο지역사회보장협의체 운영비 지원              | 식: 40,000,000원               | 40,000.000000천원
  idx= 2897 | 본예산      | 세부: 지역사회 보장협의체 운영             | 목: 민간단체법정운영비보조     | 근거: Ο지역사회보장협의체 운영비 지원(자체)          | 식: 382,250,000원              | 382,250.000000천원
